
threads=1000

concurrent clients             Requests/sec
10                              9295.41 
20                              10784.11 
30                              11122.98 
40                              11364.02 
50                              12496.56 
60                              13165.34 

threads=5000

10                              10074.15 
20                              11095.58 
30                              11272.31 
40                              11802.20 
50                              10150.12 
60                              11220.45 

threads=10000

 10                             10270.21 
 20                             11974.47 
 30                             12098.19 
 40                             12814.76 
 50                             13143.54 
 60                             11977.16 
