
threads=1000

Concurrent clients         Requests/sec

10                            10459.81 
20                            11226.49 
30                            11372.29 
40                            10312.15 
50                            10926.57 
60                            11180.80 

threads=5000

10                            10483.17 
20                            11497.42 
30                            12205.54 
40                            12383.29 
50                            12044.71 
60                            11506.16 

threads=10000

10                            10592.21 
20                            11083.77 
30                            12102.58 
40                            12179.82 
50                            12279.82 
60                            11842.87 












